,exchange,hedge_type,base_currency,symbol,bid_price,ask_price,timestamp,borrow_rate,maker_fee,taker_fee,days_to_expiration,expiration_date,funding_rate,next_funding_rate_time
446,FTX,Perpetual,BNT,BNT-PERP,0.4925,0.493,1655917761.568581,0,0.02,0.07,inf,,-0.00025,2022-06-22 15:00:00+00:00
447,FTX,Delivery,BNTX,BNTX-0624,126.27,126.6,1655917761.568591,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
448,FTX,Delivery,BNTX,BNTX-0930,126.28,126.54,1655917761.5686,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
449,FTX,Perpetual,BOBA,BOBA-PERP,0.35,0.351,1655917761.568608,0,0.02,0.07,inf,,4.7e-05,2022-06-22 15:00:00+00:00
450,FTX,Delivery,BOLSONARO2022,BOLSONARO2022,0.291,0.3,1655917761.568619,0,0.02,0.07,104.0,2022-10-05 00:00:00+00:00,,
451,FTX,Perpetual,BRZ,BRZ-PERP,0.19229,0.19297,1655917761.568629,0,0.02,0.07,inf,,-0.000125,2022-06-22 15:00:00+00:00
452,FTX,Perpetual,BSV,BSV-PERP,62.97,63.02,1655917761.568636,0,0.02,0.07,inf,,-3.7e-05,2022-06-22 15:00:00+00:00
453,FTX,Delivery,BSV,BSV-0624,62.75,62.84,1655917761.568646,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
454,FTX,Delivery,BSV,BSV-0930,59.61,59.89,1655917761.568656,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
455,FTX,Perpetual,BTC,BTC-PERP,20220.0,20222.0,1655917761.568664,0,0.02,0.07,inf,,5e-06,2022-06-22 15:00:00+00:00
456,FTX,Delivery,BTC,BTC-MOVE-0622,538.0,570.0,1655917761.568673,0,0.02,0.07,0.0,2022-06-23 00:00:00+00:00,,
457,FTX,Delivery,BTC,BTC-MOVE-0623,678.0,685.0,1655917761.568683,0,0.02,0.07,1.0,2022-06-24 00:00:00+00:00,,
458,FTX,Delivery,BTC,BTC-0624,20205.0,20214.0,1655917761.568693,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
459,FTX,Delivery,BTC,BTC-MOVE-2022Q2,23870.0,23966.0,1655917761.568703,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
460,FTX,Delivery,BTC,BTC-MOVE-WK-0624,1066.0,1235.0,1655917761.568712,0,0.02,0.07,2.0,2022-06-25 00:00:00+00:00,,
461,FTX,Delivery,BTC,BTC-MOVE-WK-0701,1999.0,2040.0,1655917761.568721,0,0.02,0.07,9.0,2022-07-02 00:00:00+00:00,,
462,FTX,Delivery,BTC,BTC-MOVE-WK-0708,1672.0,1872.0,1655917761.568731,0,0.02,0.07,16.0,2022-07-09 00:00:00+00:00,,
463,FTX,Delivery,BTC,BTC-MOVE-WK-0715,1711.0,1800.0,1655917761.56874,0,0.02,0.07,23.0,2022-07-16 00:00:00+00:00,,
464,FTX,Delivery,BTC,BTC-0930,20249.0,20263.0,1655917761.56875,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
465,FTX,Delivery,BTC,BTC-MOVE-2022Q3,6300.0,6868.0,1655917761.568759,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
466,FTX,Delivery,BTC,BTC-1230,20363.0,20411.0,1655917761.568769,0,0.02,0.07,190.0,2022-12-30 03:00:00+00:00,,
467,FTX,Delivery,BTC,BTC-MOVE-2022Q4,5801.0,6397.0,1655917761.568784,0,0.02,0.07,190.0,2022-12-30 03:00:00+00:00,,
468,FTX,Perpetual,BTT,BTT-PERP,7.8e-07,7.9e-07,1655917761.568792,0,0.02,0.07,inf,,-8.7e-05,2022-06-22 15:00:00+00:00
469,FTX,Delivery,BYND,BYND-0624,25.61,25.84,1655917761.568802,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
470,FTX,Delivery,BYND,BYND-0930,25.82,25.95,1655917761.568812,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
471,FTX,Perpetual,C98,C98-PERP,0.5251,0.5258,1655917761.568819,0,0.02,0.07,inf,,-7.1e-05,2022-06-22 15:00:00+00:00
472,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,3.055,1655917761.568827,0,0.02,0.07,inf,,-3e-05,2022-06-22 15:00:00+00:00
473,FTX,Perpetual,CEL,CEL-PERP,0.948,0.9485,1655917761.568835,0,0.02,0.07,inf,,-0.000531,2022-06-22 15:00:00+00:00
474,FTX,Delivery,CEL,CEL-0624,0.9,0.9495,1655917761.568845,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
475,FTX,Delivery,CEL,CEL-0930,0.56,0.5605,1655917761.568854,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
476,FTX,Perpetual,CELO,CELO-PERP,0.879,0.8795,1655917761.568862,0,0.02,0.07,inf,,2.4e-05,2022-06-22 15:00:00+00:00
477,FTX,Delivery,CGC,CGC-0624,3.425,3.4575,1655917761.568872,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
478,FTX,Delivery,CGC,CGC-0930,3.4275,3.4725,1655917761.568882,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
479,FTX,Perpetual,CHR,CHR-PERP,0.19335,0.1937,1655917761.568889,0,0.02,0.07,inf,,9e-06,2022-06-22 15:00:00+00:00
480,FTX,Perpetual,CHZ,CHZ-PERP,0.093473,0.093563,1655917761.568897,0,0.02,0.07,inf,,-1.3e-05,2022-06-22 15:00:00+00:00
